sku,descricao,gross_price,price,pagamento,date,day,hour
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
4196,La Vie Est Belle Lancôme - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
13731,Good Girl Carolina Herrera - Perfume Feminino - Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 00:15:08.033228,05/06/20,00:15:08
9206,La Petite Fleur blanche Paris Elysees - Perfume Feminino - Eau de Toilette,"73,80","64,90","2x de R$ 32,45",2020-05-06 00:15:08.033228,05/06/20,00:15:08
8357,Cuté Woman La Rive - Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
33521,Idôle Lancôme - Perfume Feminino Eau de Parfum,,"258,90","8x de R$ 32,36",2020-05-06 00:15:08.033228,05/06/20,00:15:08
10122,Sexy Woman Night Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","54,80",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
8334,Donna La Rive - Perfume Feminino - Eau de Parfum,"69,90","59,42",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
5686,212 VIP Rosé Carolina Herrera - Perfume Feminino - Eau de Parfum,,"398,90","10x de R$ 39,89",2020-05-06 00:15:08.033228,05/06/20,00:15:08
3975,Amor Amor Cacharel - Perfume Feminino - Eau de Toilette,,"159,00","5x de R$ 31,80",2020-05-06 00:15:08.033228,05/06/20,00:15:08
39209,Good Girl Fantastic Pink Carolina Herrera Perfume Feminino EDP,,"529,00","10x de R$ 52,90",2020-05-06 00:15:08.033228,05/06/20,00:15:08
34215,Taste of Kiss La Rive Perfume Feminino - Eau de Parfum,"69,90","60,80","2x de R$ 30,40",2020-05-06 00:15:08.033228,05/06/20,00:15:08
30004,Candy Roll-on Prada - Perfume Feminino Eau de Parfum,"108,90","79,90","2x de R$ 39,95",2020-05-06 00:15:08.033228,05/06/20,00:15:08
29476,Mademoiselle L’Eau Très Florale Azzaro - Perfume Feminino - Eau de Toilette,"218,90","114,90","3x de R$ 38,30",2020-05-06 00:15:08.033228,05/06/20,00:15:08
27531,Sweet Hope La Rive - Perfume Feminino - Eau de Parfum,"69,90","53,90",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
9556,Billion Woman Love Paris Elysees - Perfume Feminino - Eau de Toilette,,"0,00",,2020-05-06 00:15:08.033228,05/06/20,00:15:08
20995,English Bluebell Yardley Perfume Feminino Eau de Toilette,"136,00","68,00","2x de R$ 34,00",2020-05-06 00:15:08.033228,05/06/20,00:15:08
